review_priority,review_reasons,source_locator,std_id,std_label,category,year,response_label,std_response_label,value,unit,base_n,multi_response,question_summary,section,subsection,prev_year_note,source,page_start,page_end,extraction_confidence,warning,figures,prev_value,yoy_delta,flag_jump,flag_mismatch,mismatch_verdict,mismatch_reason,sum_total,flag_sum_violation
high,low_confidence; warning,2023년 인지도조사 결과보고서.pdf p.131,그린카드_인지경로,그린카드_인지경로,,2023,주변 지인의 추천,주변 지인의 추천,,%,771,False,그린카드를 알게 된 경로를 묻는 문항,2. 그린카드에 대한 인식,3) 그린카드 인지 경로,"’22년 조사에서도 ‘기사, 블로그, SNS 등 온라인 매체’가 가장 높음(51.3%).",2023년 인지도조사 결과보고서.pdf,131,131,low,"원문 문항은 ‘모두 선택’으로 복수응답처럼 보이나, 상단 참고값에 복수응답=False로 제시되어 있어 충돌이 있음. 또한 표 원문이 뒤섞여 일부 항목(주변 지인의 추천, 기타)의 전체 수치를 확실히 식별할 수 없어 null 처리함.",<그림 3-29> 그린카드 인지 경로 / <표 3-23> 그린카드 인지 경로,,,,,consistent,"2022년 표에서 ‘기사, 블로그, SNS 등 온라인 매체’가 51.3%로 가장 높아 서술과 일치한다.",,
high,low_confidence; warning,2023년 인지도조사 결과보고서.pdf p.131,그린카드_인지경로,그린카드_인지경로,,2023,기타,기타,,%,771,False,그린카드를 알게 된 경로를 묻는 문항,2. 그린카드에 대한 인식,3) 그린카드 인지 경로,"’22년 조사에서도 ‘기사, 블로그, SNS 등 온라인 매체’가 가장 높음(51.3%).",2023년 인지도조사 결과보고서.pdf,131,131,low,"원문 문항은 ‘모두 선택’으로 복수응답처럼 보이나, 상단 참고값에 복수응답=False로 제시되어 있어 충돌이 있음. 또한 표 원문이 뒤섞여 일부 항목(주변 지인의 추천, 기타)의 전체 수치를 확실히 식별할 수 없어 null 처리함.",<그림 3-29> 그린카드 인지 경로 / <표 3-23> 그린카드 인지 경로,,,,,consistent,"2022년 표에서 ‘기사, 블로그, SNS 등 온라인 매체’가 51.3%로 가장 높아 서술과 일치한다.",,
high,flag_mismatch,2023년 인지도조사 결과보고서.pdf p.73-74,대한민국친환경대전_인지도,대한민국 친환경대전 인지도,환경 인식,2023,인지,인지,63.3,%,1000,False,대한민국 친환경대전을 알고 있는지 묻는 문항,3. 녹색매장 및 대한민국 친환경대전 인지도,5) 대한민국 친환경대전 인지도,2022년 인지도 55.5%에서 2023년 63.3%로 7.8%p 상승,2023년 인지도조사 결과보고서.pdf,73,74,high,,<그림 3-49> 대한민국 친환경대전 인지도 / <표 3-59> 대한민국 친환경대전 인지도,,,,True,contradictory,"2023년 표에는 인지 63.3%가 보이지만 2022년 인지도는 55.5%가 아니라 비인지 44.5% 등으로 확인되어, 서술의 2022→2023 변화 수치가 표와 맞지 않습니다.",100.0,
high,flag_mismatch,2023년 인지도조사 결과보고서.pdf p.73-74,대한민국친환경대전_인지도,대한민국 친환경대전 인지도,환경 인식,2023,비인지,비인지,36.7,%,1000,False,대한민국 친환경대전을 알고 있는지 묻는 문항,3. 녹색매장 및 대한민국 친환경대전 인지도,5) 대한민국 친환경대전 인지도,2022년 인지도 55.5%에서 2023년 63.3%로 7.8%p 상승,2023년 인지도조사 결과보고서.pdf,73,74,high,,<그림 3-49> 대한민국 친환경대전 인지도 / <표 3-59> 대한민국 친환경대전 인지도,,,,True,contradictory,"2023년 표에는 인지 63.3%가 보이지만 2022년 인지도는 55.5%가 아니라 비인지 44.5% 등으로 확인되어, 서술의 2022→2023 변화 수치가 표와 맞지 않습니다.",100.0,
high,low_confidence; warning; flag_jump; flag_sum_violation,2023년 인지도조사 결과보고서.pdf p.39,친환경제품_추가지불의향,친환경제품 추가 지불 의향,구매 의향,2023,"10,000원 미만","10,000원 미만",41.9,%,1000,False,생활용품을 구매할 때 친환경제품(녹색제품 포함)에 추가로 지불할 수 있는 최대 금액을 묻는 문항,1. 환경 및 친환경제품에 대한 인식,16) 생활용품 1만원일 때 친환경제품(녹색제품 포함) 지불 용의 최대 금액,,2023년 인지도조사 결과보고서.pdf,39,39,low,"원문 표의 수치가 여러 행으로 뒤섞여 있어 전체 기준 응답 분포를 라벨별로 완전히 확정하기 어려움. 본문 서술에서 명시된 전체 기준 비율만 추출했고, 나머지 구간은 값이 불명확하여 null로 처리함.",<그림 3-20> 생활용품 1만원일 때 친환경제품(녹색제품 포함) 지불 용의 최대 금액 / <표 3-19> 생활용품 1만원일 때 친환경제품(녹색제품 포함) 지불 용의 최대 금액,8.1,33.8,True,,,,270.2,True
high,low_confidence; warning; flag_sum_violation,2023년 인지도조사 결과보고서.pdf p.39,친환경제품_추가지불의향,친환경제품 추가 지불 의향,구매 의향,2023,"10,000원","10,000원",13.2,%,1000,False,생활용품을 구매할 때 친환경제품(녹색제품 포함)에 추가로 지불할 수 있는 최대 금액을 묻는 문항,1. 환경 및 친환경제품에 대한 인식,16) 생활용품 1만원일 때 친환경제품(녹색제품 포함) 지불 용의 최대 금액,,2023년 인지도조사 결과보고서.pdf,39,39,low,"원문 표의 수치가 여러 행으로 뒤섞여 있어 전체 기준 응답 분포를 라벨별로 완전히 확정하기 어려움. 본문 서술에서 명시된 전체 기준 비율만 추출했고, 나머지 구간은 값이 불명확하여 null로 처리함.",<그림 3-20> 생활용품 1만원일 때 친환경제품(녹색제품 포함) 지불 용의 최대 금액 / <표 3-19> 생활용품 1만원일 때 친환경제품(녹색제품 포함) 지불 용의 최대 금액,,,,,,,270.2,True
high,low_confidence; warning,2023년 인지도조사 결과보고서.pdf p.39,친환경제품_추가지불의향,친환경제품 추가 지불 의향,구매 의향,2023,"10,001~11,000원","10,001~11,000원",,%,1000,False,생활용품을 구매할 때 친환경제품(녹색제품 포함)에 추가로 지불할 수 있는 최대 금액을 묻는 문항,1. 환경 및 친환경제품에 대한 인식,16) 생활용품 1만원일 때 친환경제품(녹색제품 포함) 지불 용의 최대 금액,,2023년 인지도조사 결과보고서.pdf,39,39,low,"원문 표의 수치가 여러 행으로 뒤섞여 있어 전체 기준 응답 분포를 라벨별로 완전히 확정하기 어려움. 본문 서술에서 명시된 전체 기준 비율만 추출했고, 나머지 구간은 값이 불명확하여 null로 처리함.",<그림 3-20> 생활용품 1만원일 때 친환경제품(녹색제품 포함) 지불 용의 최대 금액 / <표 3-19> 생활용품 1만원일 때 친환경제품(녹색제품 포함) 지불 용의 최대 금액,,,,,,,,
high,low_confidence; warning; flag_sum_violation,2023년 인지도조사 결과보고서.pdf p.39,친환경제품_추가지불의향,친환경제품 추가 지불 의향,구매 의향,2023,"11,001~12,000원","11,001~12,000원",12.6,%,1000,False,생활용품을 구매할 때 친환경제품(녹색제품 포함)에 추가로 지불할 수 있는 최대 금액을 묻는 문항,1. 환경 및 친환경제품에 대한 인식,16) 생활용품 1만원일 때 친환경제품(녹색제품 포함) 지불 용의 최대 금액,,2023년 인지도조사 결과보고서.pdf,39,39,low,"원문 표의 수치가 여러 행으로 뒤섞여 있어 전체 기준 응답 분포를 라벨별로 완전히 확정하기 어려움. 본문 서술에서 명시된 전체 기준 비율만 추출했고, 나머지 구간은 값이 불명확하여 null로 처리함.",<그림 3-20> 생활용품 1만원일 때 친환경제품(녹색제품 포함) 지불 용의 최대 금액 / <표 3-19> 생활용품 1만원일 때 친환경제품(녹색제품 포함) 지불 용의 최대 금액,20.2,-7.6,,,,,270.2,True
high,low_confidence; warning,2023년 인지도조사 결과보고서.pdf p.39,친환경제품_추가지불의향,친환경제품 추가 지불 의향,구매 의향,2023,"12,001~13,000원","12,001~13,000원",,%,1000,False,생활용품을 구매할 때 친환경제품(녹색제품 포함)에 추가로 지불할 수 있는 최대 금액을 묻는 문항,1. 환경 및 친환경제품에 대한 인식,16) 생활용품 1만원일 때 친환경제품(녹색제품 포함) 지불 용의 최대 금액,,2023년 인지도조사 결과보고서.pdf,39,39,low,"원문 표의 수치가 여러 행으로 뒤섞여 있어 전체 기준 응답 분포를 라벨별로 완전히 확정하기 어려움. 본문 서술에서 명시된 전체 기준 비율만 추출했고, 나머지 구간은 값이 불명확하여 null로 처리함.",<그림 3-20> 생활용품 1만원일 때 친환경제품(녹색제품 포함) 지불 용의 최대 금액 / <표 3-19> 생활용품 1만원일 때 친환경제품(녹색제품 포함) 지불 용의 최대 금액,,,,,,,,
high,low_confidence; warning,2023년 인지도조사 결과보고서.pdf p.39,친환경제품_추가지불의향,친환경제품 추가 지불 의향,구매 의향,2023,"14,001~15,000원","14,001~15,000원",,%,1000,False,생활용품을 구매할 때 친환경제품(녹색제품 포함)에 추가로 지불할 수 있는 최대 금액을 묻는 문항,1. 환경 및 친환경제품에 대한 인식,16) 생활용품 1만원일 때 친환경제품(녹색제품 포함) 지불 용의 최대 금액,,2023년 인지도조사 결과보고서.pdf,39,39,low,"원문 표의 수치가 여러 행으로 뒤섞여 있어 전체 기준 응답 분포를 라벨별로 완전히 확정하기 어려움. 본문 서술에서 명시된 전체 기준 비율만 추출했고, 나머지 구간은 값이 불명확하여 null로 처리함.",<그림 3-20> 생활용품 1만원일 때 친환경제품(녹색제품 포함) 지불 용의 최대 금액 / <표 3-19> 생활용품 1만원일 때 친환경제품(녹색제품 포함) 지불 용의 최대 금액,,,,,,,,
high,low_confidence; warning; flag_sum_violation,2023년 인지도조사 결과보고서.pdf p.39,친환경제품_추가지불의향,친환경제품 추가 지불 의향,구매 의향,2023,"15,001원 이상","15,001원 이상",9.6,%,1000,False,생활용품을 구매할 때 친환경제품(녹색제품 포함)에 추가로 지불할 수 있는 최대 금액을 묻는 문항,1. 환경 및 친환경제품에 대한 인식,16) 생활용품 1만원일 때 친환경제품(녹색제품 포함) 지불 용의 최대 금액,,2023년 인지도조사 결과보고서.pdf,39,39,low,"원문 표의 수치가 여러 행으로 뒤섞여 있어 전체 기준 응답 분포를 라벨별로 완전히 확정하기 어려움. 본문 서술에서 명시된 전체 기준 비율만 추출했고, 나머지 구간은 값이 불명확하여 null로 처리함.",<그림 3-20> 생활용품 1만원일 때 친환경제품(녹색제품 포함) 지불 용의 최대 금액 / <표 3-19> 생활용품 1만원일 때 친환경제품(녹색제품 포함) 지불 용의 최대 금액,,,,,,,270.2,True
high,flag_mismatch; flag_sum_violation,2023년 인지도조사 결과보고서.pdf p.77-79,친환경표현_사용조건,친환경 표현 사용 조건,환경 인식,2023,정부가 친환경성을 검증한 제품,정부가 친환경성을 검증한 제품,90.0,%,1000,False,친환경·환경 친화적 표시·광고가 가능하기 위한 조건을 묻는 문항,4. 제품 환경성 표시·광고,2) 친환경이라는 표현 사용을 위한 조건,"2022년 조사에서도 동일한 순서로 나타났으며, 수치는 정부 90.9%, 민간기관 58.7%, 기업 자체 45.2%였다.",2023년 인지도조사 결과보고서.pdf,77,79,high,,<그림 3-52> 친환경이라는 표현 사용을 위한 조건 / <표 3-63> 기업 자체적 검증 완료 / <표 3-64> 민간기관이 검증 완료 / <표 3-65> 정부가 검증 완료,,,,True,contradictory,"2023년 표의 정부 90.0%, 민간기관 67.9%, 기업 자체 61.9%는 서술의 2022년 수치(90.9%, 58.7%, 45.2%)와 일부 항목에서 명백히 다릅니다.",219.8,True
high,flag_mismatch; flag_sum_violation,2023년 인지도조사 결과보고서.pdf p.77-79,친환경표현_사용조건,친환경 표현 사용 조건,환경 인식,2023,제3자인 민간기관이 친환경성을 검증한 제품,제3자인 민간기관이 친환경성을 검증한 제품,67.9,%,1000,False,친환경·환경 친화적 표시·광고가 가능하기 위한 조건을 묻는 문항,4. 제품 환경성 표시·광고,2) 친환경이라는 표현 사용을 위한 조건,"2022년 조사에서도 동일한 순서로 나타났으며, 수치는 정부 90.9%, 민간기관 58.7%, 기업 자체 45.2%였다.",2023년 인지도조사 결과보고서.pdf,77,79,high,,<그림 3-52> 친환경이라는 표현 사용을 위한 조건 / <표 3-63> 기업 자체적 검증 완료 / <표 3-64> 민간기관이 검증 완료 / <표 3-65> 정부가 검증 완료,,,,True,contradictory,"2023년 표의 정부 90.0%, 민간기관 67.9%, 기업 자체 61.9%는 서술의 2022년 수치(90.9%, 58.7%, 45.2%)와 일부 항목에서 명백히 다릅니다.",219.8,True
high,flag_mismatch; flag_sum_violation,2023년 인지도조사 결과보고서.pdf p.77-79,친환경표현_사용조건,친환경 표현 사용 조건,환경 인식,2023,기업 자체적으로 친환경성을 검증한 제품,기업 자체적으로 친환경성을 검증한 제품,61.9,%,1000,False,친환경·환경 친화적 표시·광고가 가능하기 위한 조건을 묻는 문항,4. 제품 환경성 표시·광고,2) 친환경이라는 표현 사용을 위한 조건,"2022년 조사에서도 동일한 순서로 나타났으며, 수치는 정부 90.9%, 민간기관 58.7%, 기업 자체 45.2%였다.",2023년 인지도조사 결과보고서.pdf,77,79,high,,<그림 3-52> 친환경이라는 표현 사용을 위한 조건 / <표 3-63> 기업 자체적 검증 완료 / <표 3-64> 민간기관이 검증 완료 / <표 3-65> 정부가 검증 완료,,,,True,contradictory,"2023년 표의 정부 90.0%, 민간기관 67.9%, 기업 자체 61.9%는 서술의 2022년 수치(90.9%, 58.7%, 45.2%)와 일부 항목에서 명백히 다릅니다.",219.8,True
high,flag_mismatch,2023년 인지도조사 결과보고서.pdf p.49,환경표지_인지도,환경표지(마크) 인지도,환경표지 인식,2023,인지함(잘 알고 있다+조금 알고 있다+본 적은 있다),인지함(잘 알고 있다+조금 알고 있다+본 적은 있다),90.7,%,1000,False,환경표지(마크) 로고에 대한 인지 여부를 묻는 문항,2. 환경 표지에 대한 인식,1) 환경표지(마크) 인지도,"‘22년 조사 결과 녹색제품 인지도는 87.9%로 나타났으며, 2.8%p 상승했다고 언급됨",2023년 인지도조사 결과보고서.pdf,49,49,high,,<그림 3-28> 환경표지(마크) 인지도 / <표 3-31> 환경표지(마크) 인지도,,,,True,contradictory,"2022년 인지도는 표상 87.9%가 아니라 2022년 항목 합계(잘 알고 있다+조금 알고 있다+본 적은 있다)로 87.9%가 맞지만, 2023년은 90.7%로 2.8%p 상승이므로 서술의 ‘22년 조사 결과 87.9%’와 ‘2.8%p 상승’ 자체는 맞습니다. 다만 문항이 환경표지_인지도인데 서술은 녹색제품 인지도로 적혀 있어 대상이 명백히 다릅니다.",100.0,
high,flag_mismatch,2023년 인지도조사 결과보고서.pdf p.49,환경표지_인지도,환경표지(마크) 인지도,환경표지 인식,2023,비인지(전혀 모른다/처음 본다),비인지(전혀 모른다/처음 본다),9.3,%,1000,False,환경표지(마크) 로고에 대한 인지 여부를 묻는 문항,2. 환경 표지에 대한 인식,1) 환경표지(마크) 인지도,"‘22년 조사 결과 녹색제품 인지도는 87.9%로 나타났으며, 2.8%p 상승했다고 언급됨",2023년 인지도조사 결과보고서.pdf,49,49,high,,<그림 3-28> 환경표지(마크) 인지도 / <표 3-31> 환경표지(마크) 인지도,,,,True,contradictory,"2022년 인지도는 표상 87.9%가 아니라 2022년 항목 합계(잘 알고 있다+조금 알고 있다+본 적은 있다)로 87.9%가 맞지만, 2023년은 90.7%로 2.8%p 상승이므로 서술의 ‘22년 조사 결과 87.9%’와 ‘2.8%p 상승’ 자체는 맞습니다. 다만 문항이 환경표지_인지도인데 서술은 녹색제품 인지도로 적혀 있어 대상이 명백히 다릅니다.",100.0,
high,flag_mismatch; flag_sum_violation,2023년 인지도조사 결과보고서.pdf p.65-66,환경표지_전반신뢰도,환경표지 인증제품(제도) 전반 신뢰도,신뢰도,2023,신뢰한다(매우+다소),신뢰한다(매우+다소),88.6,%,1000,False,환경표지(마크) 인증제품(제도)에 대한 전반적 신뢰도를 묻는 문항,2. 환경 표지에 대한 인식,12) 환경표지(마크) 인증제품(제도) 전반적 신뢰도,’22년 조사 결과 신뢰도는 85.4%였으며 3.2%p 상승함,2023년 인지도조사 결과보고서.pdf,65,66,high,,<그림 3-41> 환경표지(마크) 인증제품(제도) 전반적 신뢰도 / <표 3-50> 환경표지(마크) 인증제품(제도) 전반적 신뢰도,,,,True,contradictory,"2022년 신뢰도는 85.4%로 표와 맞지만, 2023년 신뢰한다(매우+다소)는 88.6%로 3.2%p 상승이 아니라 3.2%p 하락입니다.",88.6,True
high,flag_mismatch,2024년 친환경 생활 소비 국민 인지도 조사 결과보고서.pdf p.119-120,그린카드_전반만족도,그린카드 전반 만족도,구매 경험,2024,만족하지 않음,불만족,7.0,%,86,False,그린카드에 대한 전반적 만족도를 묻는 문항이다.,3. 그린카드 만족도,1) 그린카드 전반적 만족도,최근으로 올수록 만족하는 응답이 상대적으로 더 높아진 것으로 분석됨.,2024년 친환경 생활 소비 국민 인지도 조사 결과보고서.pdf,119,120,high,,<그림 2-42> 그린카드 전반적 만족도 / <표 2-42> 응답자특성별 그린카드 전반적 만족도,13.2,-6.2,,True,contradictory,"2023→2024 실제로는 만족이 94.6에서 93.0으로 하락했는데, 서술은 만족이 더 높아졌다고 반대로 말하고 있다.",100.0,
high,flag_mismatch,2024년 친환경 생활 소비 국민 인지도 조사 결과보고서.pdf p.119-120,그린카드_전반만족도,그린카드 전반 만족도,구매 경험,2024,만족함,만족,93.0,%,86,False,그린카드에 대한 전반적 만족도를 묻는 문항이다.,3. 그린카드 만족도,1) 그린카드 전반적 만족도,최근으로 올수록 만족하는 응답이 상대적으로 더 높아진 것으로 분석됨.,2024년 친환경 생활 소비 국민 인지도 조사 결과보고서.pdf,119,120,high,,<그림 2-42> 그린카드 전반적 만족도 / <표 2-42> 응답자특성별 그린카드 전반적 만족도,94.6,-1.6,,True,contradictory,"2023→2024 실제로는 만족이 94.6에서 93.0으로 하락했는데, 서술은 만족이 더 높아졌다고 반대로 말하고 있다.",100.0,
high,flag_mismatch,2025년 친환경생활·소비 국민 인지도 조사 결과보고서.pdf p.53,녹색제품_인지제고방안,녹색제품 인지도 제고 방안,정책/확산,2025,신뢰할 수 있는 녹색제품에 대한 정보제공 확대,신뢰할 수 있는 녹색제품에 대한 정보제공 확대,69.2,%,1000,True,정부가 녹색제품 인지도를 높이기 위해 필요한 방안을 묻는 문항이다.,1. 녹색제품 인지 수준,3) 녹색제품 인지도 제고 방안,"전반적으로 모든 항목이 전년 대비 증가했으나, ‘다양한 유형의 녹색제품 출시’는 49.0%에서 38.5%로 약 10.5%p 하락했다.",2025년 친환경생활·소비 국민 인지도 조사 결과보고서.pdf,53,53,high,,<그림 3-25> 환경표지제품/녹색제품 인지도 제고 방안,68.3,0.9,,True,contradictory,"대부분 항목은 증가했지만 ‘다양한 유형의 녹색제품 출시’가 49.0%→38.5%로 하락한 것은 표와 일치하나, 서술의 ‘전반적으로 모든 항목이 전년 대비 증가’는 2025년 값이 없는 항목을 제외해도 일부 항목이 감소해 명백히 맞지 않는다.",,
