type,year,current_std_id,source,subsection,proposed_std_id(편집),note
매트릭스,2016,친환경제품_추가지불의향,2016,친환경 소비재 제품을 구매할 때 일반제품 가격 대비 추가로 지불할 용이 있는 금액(전체 기준),,[매트릭스유지] 소비재 가격대=추가지불의향 정본 조건
기타,2016,환경표시광고_사실확인방법,2016,"친환경, 그린, 에코 표현 사실 여부 판단: 귀하께서는 제품 이름, 광고, 포장에 표기된 ‘친환경’, ‘그린’, ‘에코’ 등의",,[유지] 사실확인 방법=정본
기타,2016,환경표시광고_사실확인방법,2016,환경성 표시/광고 사실 여부 확인 가능 시 활용여부,환경표시광고_확인활용의향,[분리] 확인정보 활용의향=다른 문항
기타,2016,환경표시광고_사실확인방법,2016,환경성 표시·광고 관련 정보 제공 방법,환경표시광고_정보제공방법,[분리] 정보 제공방법=다른 문항
기타,2016,환경표시광고_신뢰도,2016,"귀하께서는 제품 이름, 광고, 포장에 표기된 ‘친환경’, ‘그린’, ‘에코’ 등의 표현을 얼마나 신뢰하십니까?",,[유지] 표시광고 신뢰도=정본
매트릭스,2016,환경표시광고_신뢰도,2016,"친환경, 그린, 에코 표시 제품 혹은 광고를 보았을 때의 인식 분포",환경표시광고_인식,[분리] 표시 제품 인식(신뢰도와 다름)
순위,2016,환경표지_구매유도요인,2016,일반제품 대신 환경마크 인증제품 구매를 위한 조건(1순위),,[유지·1순위] 구매유도요인=정본
기타,2016,환경표지_구매유도요인,2016,환경마크 인증제품 구매 시 고려요인 중 ‘제품 생산 시 환경 영향 최소화’에 대한 전체 기준 응답 분포,환경표지_환경영향최소화중요도,[분리·격리] 단일 고려항목 중요도(척도)=별개→격리
매트릭스,2016,환경표지_구매유도요인,2016,환경마크 인증제품을 구매하고자 할 때 가장 큰 애로사항,환경표지_구매애로사항,[분리] 구매 애로사항=다른 문항
순위,2016,환경표지_비구매이유,2016,"환경마크 인증제품을 구매하지 않은 이유(응답자 특성별 교차분석, 전체 기준 1순위 응답)",,[유지·1순위] 비구매이유=정본
기타,2016,환경표지_비구매이유,2016,환경마크 제품을 우선 구매하지 않는 이유,환경표지_우선비구매이유,"[분리] 우선 구매 안하는 이유(p114,4항목,base241)=별도 문항"
기타,2016,환경표지_인지도,2016,귀하께서는 ‘환경마크’와 ‘환경표지’가 같은 인증이라는 것을 알고 계십니까?,환경표지_명칭동일인지,[분리] 명칭(환경마크=환경표지) 동일인지
기타,2016,환경표지_인지도,2016,환경마크 로고에 대한 인지도(전체 기준 응답 분포),,[유지] 로고 인지도=정본
기타,2016,환경표지_전반신뢰도,2016,환경마크 인증제품에 대해 전반적으로 얼마나 만족하는지,환경표지_만족도,[분리] 만족도(신뢰도와 다름)
기타,2016,환경표지_전반신뢰도,2016,"환경마크 인증제품이 친환경적이라는 점을 얼마나 신뢰하는지에 대한 문항이며, 응답자 특성별 교차분석 표의 전체 기준 응답 분포를",,[유지] 전반 신뢰도=정본
기타,2017,그린카드_사용여부,2017,그린카드 발급자는 그린카드를 어떤 방법으로 발급받았는지(전체 기준),그린카드_발급경로,[분리] 발급경로=다른 문항
기타,2017,그린카드_사용여부,2017,"그린카드 사용 여부(전체 기준, 2017년)",,[유지] 그린카드 사용여부=정본
기타,2017,대한민국친환경대전_인지도,2017,귀하께서는 ‘대한민국 친환경 대전’에 대해서 알고 계신가요?,,[중복] 두 보고서 동일(값 동일)→병합 유지
기타,2017,대한민국친환경대전_인지도,2017,"대한민국 친환경 대전 인지도(전체 기준, 단수응답)",,[중복] 두 보고서 동일→병합 유지
기타,2017,친환경고려_제품,2017,나와 가족의 건강과 안전을 위해 친환경 여부를 가장 고려하는 제품은 무엇인지에 대한 전체 응답 분포,,[유지] 친환경 고려제품=정본
기타,2017,친환경고려_제품,2017,시장에서 확대되었으면 하는 친환경 제품,친환경제품_확대희망품목,[분리] 확대희망 품목(고려제품과 다름)
기타,2017,친환경제품_관심도,2017,친환경제품에 대해 얼마나 관심을 갖고 계신지에 대한 문항의 전체 기준 응답 분포,,[중복] 두 보고서 동일(값 동일)→병합 유지
기타,2017,친환경제품_관심도,2017,친환경제품에 대해 얼마나 관심을 갖고 있는지에 대한 전체 응답 분포,,[중복] 두 보고서 동일→병합 유지
매트릭스,2017,친환경제품_추가지불의향,2017,일반 내구재 100만원일 때 친환경 제품 지불 용의 금액,,[매트릭스유지] 가격대 조건=추가지불의향 정본
매트릭스,2017,친환경제품_추가지불의향,2017,일반 소비재 1만원일 때 친환경 제품 지불 용의 금액,,[매트릭스유지] 가격대 조건=정본(중복은 dedup)
매트릭스,2017,친환경제품_추가지불의향,2017,일반 소비재 5만원일 때 친환경 제품 지불 용의 금액,,[매트릭스유지] 가격대 조건=정본(중복은 dedup)
매트릭스,2017,친환경제품_추가지불의향,2017,일반 소비재 1만원일 때 친환경 제품 지불 용의 금액,,[매트릭스유지] 가격대 조건=정본(중복은 dedup)
매트릭스,2017,친환경제품_추가지불의향,2017,일반 소비재 5만원일 때 친환경 제품 지불 용의 금액,,[매트릭스유지] 가격대 조건=정본(중복은 dedup)
순위,2017,친환경제품_판단기준,2017,친환경 제품 판단 기준: 친환경제품인지 판단할 때 가장 자주 사용하는 기준 3가지를 1순위 기준으로 응답한 분포,,[중복] 두 보고서 동일 1순위(값 동일)→병합 유지
순위,2017,친환경제품_판단기준,2017,친환경 제품인지 판단하는 기준(1순위 응답),,[중복] 두 보고서 동일 1순위→병합 유지
기타,2017,친환경표현_사용조건,2017,친환경 제품으로 표시광고 가능한 제품에 대한 전체 응답 분포,,[유지] 표시광고 가능여부=사용조건 정본
기타,2017,친환경표현_사용조건,2017,"친환경, 환경 친화적, 무독성, 無 환경호르몬 표현 신뢰도",친환경표현_신뢰도,[분리] 표현 신뢰도(사용조건과 다름)
기타,2017,환경문제_관심도,2017,귀하께서는 평소 ‘환경문제’에 대해 얼마나 관심을 갖고 계십니까?,,[중복] 두 보고서 동일(값 동일)→병합 유지
기타,2017,환경문제_관심도,2017,귀하께서는 평소 ‘환경문제’에 대해 얼마나 관심을 갖고 계십니까?,,[중복] 두 보고서 동일(값 동일)→병합 유지
기타,2017,환경성적표지_인지도,2017,탄소발자국 (구)탄소성적표지 인지도,탄소발자국_인지도,[분리] 탄소발자국(구 탄소성적표지) 마크 인지=별개 마크(p86)
기타,2017,환경성적표지_인지도,2017,환경성적표지 로고 인지도(전체 기준),,"[유지] 환경성적표지 로고 인지도=정본(비인지41.5, 2016·24·25 추세부합)"
기타,2017,환경표지_불신이유,2017,환경마크 인증제품(제도)에 대해 신뢰하는 이유,환경표지_신뢰이유,[분리] 신뢰 이유 ↔ 불신 이유(반대 개념)
기타,2017,환경표지_불신이유,2017,환경마크 인증제품(제도)에 대해 신뢰하지 않는 이유,,[유지] 불신이유=정본
기타,2017,환경표지_확대희망품목,2017,환경마크 인증제품이 많아지길 희망하는 품목,,[유지] 환경표지 인증제품 확대희망=정본
기타,2017,환경표지_확대희망품목,2017,시장에 확대되었으면 하는 친환경 제품,친환경제품_확대희망품목,[분리] 친환경제품 확대희망(환경표지 확대희망과 다른 표)
순위,2018,친환경제품_판단기준,2022,친환경제품(녹색제품 포함) 판단 기준(1+2+3순위 복수응답),친환경제품_판단기준_복수응답,[복수응답] 1+2+3순위 집계=별도 std_id
순위,2018,친환경제품_판단기준,2022,친환경제품(녹색제품 포함) 판단 기준(1순위 응답),,[유지·1순위] 1순위 분포=정본
순위,2018,친환경제품_확산대책,2022,친환경제품 확산을 위한 대책(1+2+3순위 복수응답),친환경제품_확산대책_복수응답,[복수응답] 1+2+3순위 집계=별도 std_id
순위,2018,친환경제품_확산대책,2022,친환경제품 확산을 위한 대책(1순위 응답),,[유지·1순위] 1순위 분포=정본
순위,2018,환경표지_비구매이유,2022,환경표지(마크) 인증제품 구매하지 않는 이유(1+2+3순위 복수응답),환경표지_비구매이유_복수응답,[복수응답] 1+2+3순위 집계=별도 std_id
순위,2018,환경표지_비구매이유,2022,환경표지(마크) 인증제품 구매하지 않는 이유(1순위 응답),,[유지·1순위] 1순위 분포=정본
순위,2019,친환경제품_판단기준,2022,친환경제품(녹색제품 포함) 판단 기준(1+2+3순위 복수응답),친환경제품_판단기준_복수응답,[복수응답] 1+2+3순위 집계=별도 std_id
순위,2019,친환경제품_판단기준,2022,친환경제품(녹색제품 포함) 판단 기준(1순위 응답),,[유지·1순위] 1순위 분포=정본
순위,2019,친환경제품_확산대책,2022,친환경제품 확산을 위한 대책(1+2+3순위 복수응답),친환경제품_확산대책_복수응답,[복수응답] 1+2+3순위 집계=별도 std_id
순위,2019,친환경제품_확산대책,2022,친환경제품 확산을 위한 대책(1순위 응답),,[유지·1순위] 1순위 분포=정본
순위,2019,환경표지_비구매이유,2022,환경표지(마크) 인증제품 구매하지 않는 이유(1+2+3순위 복수응답),환경표지_비구매이유_복수응답,[복수응답] 1+2+3순위 집계=별도 std_id
순위,2019,환경표지_비구매이유,2022,환경표지(마크) 인증제품 구매하지 않는 이유(1순위 응답),,[유지·1순위] 1순위 분포=정본
기타,2020,친환경제품_판단기준,2022,제품 생산/사용 중 발생 및 함유된 유해 물질 감소,친환경제품_유해물질감소신뢰도,"[분리·격리] 판단기준 '유해물질감소' 신뢰도(척도)=별개, 20~22 3개년"
순위,2020,친환경제품_판단기준,2022,친환경제품(녹색제품 포함) 판단 기준(1+2+3순위 복수응답),친환경제품_판단기준_복수응답,[복수응답] 1+2+3순위 집계=별도 std_id
순위,2020,친환경제품_판단기준,2022,친환경제품(녹색제품 포함) 판단 기준(1순위 응답),,[유지·1순위] 1순위 분포=정본
순위,2020,친환경제품_확산대책,2022,친환경제품 확산을 위한 대책(1+2+3순위 복수응답),친환경제품_확산대책_복수응답,[복수응답] 1+2+3순위 집계=별도 std_id
순위,2020,친환경제품_확산대책,2022,친환경제품 확산을 위한 대책(1순위 응답),,[유지·1순위] 1순위 분포=정본
순위,2020,환경표지_비구매이유,2022,환경표지(마크) 인증제품 구매하지 않는 이유(1+2+3순위 복수응답),환경표지_비구매이유_복수응답,[복수응답] 1+2+3순위 집계=별도 std_id
순위,2020,환경표지_비구매이유,2022,환경표지(마크) 인증제품 구매하지 않는 이유(1순위 응답),,[유지·1순위] 1순위 분포=정본
기타,2021,친환경제품_판단기준,2022,제품 생산/사용 중 발생 및 함유된 유해 물질 감소,친환경제품_유해물질감소신뢰도,"[분리·격리] 판단기준 '유해물질감소' 신뢰도(척도)=별개, 20~22 3개년"
순위,2021,친환경제품_판단기준,2022,친환경제품(녹색제품 포함) 판단 기준(1+2+3순위 복수응답),친환경제품_판단기준_복수응답,[복수응답] 1+2+3순위 집계=별도 std_id
순위,2021,친환경제품_판단기준,2022,친환경제품(녹색제품 포함) 판단 기준(1순위 응답),,[유지·1순위] 1순위 분포=정본
순위,2021,친환경제품_확산대책,2022,친환경제품 확산을 위한 대책(1+2+3순위 복수응답),친환경제품_확산대책_복수응답,[복수응답] 1+2+3순위 집계=별도 std_id
순위,2021,친환경제품_확산대책,2022,친환경제품 확산을 위한 대책(1순위 응답),,[유지·1순위] 1순위 분포=정본
순위,2021,환경표지_비구매이유,2022,환경표지(마크) 인증제품 구매하지 않는 이유(1+2+3순위 복수응답),환경표지_비구매이유_복수응답,[복수응답] 1+2+3순위 집계=별도 std_id
순위,2021,환경표지_비구매이유,2022,환경표지(마크) 인증제품 구매하지 않는 이유(1순위 응답),,[유지·1순위] 1순위 분포=정본
기타,2022,친환경제품_판단기준,2022,제품 생산/사용 중 발생 및 함유된 유해 물질 감소,친환경제품_유해물질감소신뢰도,"[분리·격리] 판단기준 '유해물질감소' 신뢰도(척도)=별개, 20~22 3개년"
순위,2022,친환경제품_판단기준,2022,친환경제품(녹색제품 포함) 판단 기준(1+2+3순위 복수응답),친환경제품_판단기준_복수응답,[복수응답] 1+2+3순위 집계=별도 std_id
순위,2022,친환경제품_판단기준,2022,친환경제품(녹색제품 포함) 판단 기준(1순위 응답),,[유지·1순위] 1순위 분포=정본
순위,2022,친환경제품_확산대책,2022,친환경제품 확산을 위한 대책(1+2+3순위 복수응답),친환경제품_확산대책_복수응답,[복수응답] 1+2+3순위 집계=별도 std_id
순위,2022,친환경제품_확산대책,2022,친환경제품 확산을 위한 대책(1순위 응답),,[유지·1순위] 1순위 분포=정본
순위,2022,환경표지_비구매이유,2022,환경표지(마크) 인증제품 구매하지 않는 이유(1+2+3순위 복수응답),환경표지_비구매이유_복수응답,[복수응답] 1+2+3순위 집계=별도 std_id
순위,2022,환경표지_비구매이유,2022,환경표지(마크) 인증제품 구매하지 않는 이유(1순위 응답),,[유지·1순위] 1순위 분포=정본
매트릭스,2020,친환경제품_판단기준,2022,"제품 사용 후 재활용 쉽거나, 폐기물 감소",친환경제품_재활용폐기물감소신뢰도,"[분리·격리] 판단기준 '재활용/폐기물감소' 신뢰도=유해물질감소의 형제행, 20~22 3개년"
매트릭스,2021,친환경제품_판단기준,2022,"제품 사용 후 재활용 쉽거나, 폐기물 감소",친환경제품_재활용폐기물감소신뢰도,"[분리·격리] 판단기준 '재활용/폐기물감소' 신뢰도=유해물질감소의 형제행, 20~22 3개년"
매트릭스,2022,친환경제품_판단기준,2022,"제품 사용 후 재활용 쉽거나, 폐기물 감소",친환경제품_재활용폐기물감소신뢰도,"[분리·격리] 판단기준 '재활용/폐기물감소' 신뢰도=유해물질감소의 형제행, 20~22 3개년"
매트릭스,2020,친환경제품_판단기준,2022,건강과 안전에 도움,친환경제품_건강안전신뢰도,"[분리·격리] 판단기준 '건강안전' 신뢰도=매트릭스 criterion, 20~22 3개년"
매트릭스,2021,친환경제품_판단기준,2022,건강과 안전에 도움,친환경제품_건강안전신뢰도,"[분리·격리] 판단기준 '건강안전' 신뢰도=매트릭스 criterion, 20~22 3개년"
매트릭스,2022,친환경제품_판단기준,2022,건강과 안전에 도움,친환경제품_건강안전신뢰도,"[분리·격리] 판단기준 '건강안전' 신뢰도=매트릭스 criterion, 20~22 3개년"
매트릭스,2020,친환경제품_판단기준,2022,"제품 생산, 사용, 폐기 과정 중 물, 전기 등 자원 절약",친환경제품_자원절약신뢰도,"[분리·격리] 판단기준 '자원절약' 신뢰도=매트릭스 criterion, 20~22 3개년"
매트릭스,2021,친환경제품_판단기준,2022,"제품 생산, 사용, 폐기 과정 중 물, 전기 등 자원 절약",친환경제품_자원절약신뢰도,"[분리·격리] 판단기준 '자원절약' 신뢰도=매트릭스 criterion, 20~22 3개년"
매트릭스,2022,친환경제품_판단기준,2022,"제품 생산, 사용, 폐기 과정 중 물, 전기 등 자원 절약",친환경제품_자원절약신뢰도,"[분리·격리] 판단기준 '자원절약' 신뢰도=매트릭스 criterion, 20~22 3개년"
